htm_link,download_link
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_cy.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_cy.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_cz.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_cz.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_de.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_de.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_dk.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_dk.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_ee.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_ee.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_el.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_el.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_fi.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_fi.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_fr.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_fr.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_hr.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_hr.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_hu.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_hu.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_ie.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_ie.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_it.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_it.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_lt.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_lt.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_lu.htm,http://ec.europa.eu/eurostat/estat-navtree-portlet-prod/BulkDownloadListing?file=metadata/aei_pestuse_esqrspu_lu.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_lv.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_lv.sdmx.zip
